Adularia,KAlSi3O8
Odinite,(FeMgAlFeTiMn)2.4((SiAl)2O5)(OH)4
Barian Muscovite,(KBa)(AlMg)2(AlSi3O10)(OH)2
Oerstedite,Zr(SiO4)
Offretite,KCaMg(Si13Al5)O36 · 15H2O
Ogdensburgite,Ca2Fe3+4(ZnMn2+)(AsO4)4(OH)6 · 6H2O
Ohmilite,Sr3(TiFe3+)(Si4O12)(OOH) · 2-3H2O
Oil Quartz,SiO2
Ojuelaite,ZnFe3+2(AsO4)2(OH)2 · 4H2O
Okanoganite-(Y),(NaCa)3(YCe)12Si6B2O27F14
Okenite,Ca10Si18O46 · 18H2O
Okhotskite,Ca2(MnMg)(Mn3+AlFe3+)2(Si2O7)(SiO4)(OH)2 · H2O
Oktibbehite,Ni
Oldhamite,(CaMg)S
Olekminskite,Sr(SrCaBa)(CO3)2
Olenite,Na(Al3)Al6(Si6O18)(BO3)3O3(OH)
Olgite,(SrBa)(NaSrREE)2Na(PO4)2
Oligoclase-Albite,Na(AlSi3O8)
Oligoclase,(NaCa)[Al(SiAl)Si2O8]
Oligonite,(FeMn)CO3
Olive Copper Ore,Cu2(AsO4)(OH)
Olivenerz,Cu2(AsO4)(OH)
Olivenite,Cu2(AsO4)(OH)
Olivereiraite,Zr3Ti2O10 · 2H2O (?)
Olkhonskite,(CrV)2Ti3O9
Olmsteadite,KFe2+2(Nb5+Ta5+)(PO4)2O2 · 2H2O
Olsacherite,Pb2(Se6+O4)(SO4)
Olshanskyite,Ca2[B3O3(OH)6](OH) · 3H2O
Olympite,Na5Li(PO4)2
Omeiite,(OsRu)As2
Omphacite,(NaaCabFe2+cMgd)(AleFe3+fFe2+gMgh)Si2O6
Oncosine,KAl2(AlSi3O10)(OH)2
Onofrite (of Haidinger),HgS
Onoratoite,Sb8Cl2O11
Onyx,SiO2
Limestone Onyx,CaCO3
Oosterboschite,(PdCu)7Se5
Opal,SiO2 · nH2O
Opal-Agate,SiO2 · nH2O
Opal-Jasper,SiO2 · nH2O
Opaline,SiO2 · nH2O
Orangite,Th(SiO4)
Orcelite,Ni5-xAs2 x ~ 0.25
Ordite,CaSO4 · 2H2O
Ordoñezite,ZnSb2O6
Oregonite,Ni2FeAs2
Orickite,2CuFeS2 · H2O
Orientite,Ca8Mn3+10(SiO4)3(Si3O10)3(OH)10 · 4H2O
Orlite,Pb3(UO2)3(Si2O7)2 · 6H2O
Orlymanite,Ca4Mn3Si8O20(OH)6 · 2H2O
Orpheite,PbAl3(PO4)(SO4)(OH)6
Orpiment,As2S3
Orschallite,Ca3(SO3)2(SO4) · 12H2O
Orthobrannerite,U4+U6+Ti4O12(OH)2
Orthochamosite,(Fe2+MgFe3+)5Al(AlSi3O10)(OHO)8
Orthoclase,K(AlSi3O8)
Ericssonite-2O,BaMn2+2Fe3+(Si2O7)O(OH)
Orthoguarinite,(Na Ca Zr Si F O)
Orthojoaquinite-(Ce),NaBa2Ce2FeTi2[Si4O12]2O2(OOH) · H2O
Orthopinakiolite,(MgMn2+)2Mn3+(BO3)O2
Orthoserpierite,Ca(CuZn)4(SO4)2(OH)6 · 3H2O
Orthowalpurgite,(BiO)4(UO2)(AsO4)2 · 2H2O
Osarizawaite,Pb(Al2Cu2+)(SO4)2(OH)6
Osarsite,(OsRu)AsS
Osbornite,TiN
Osmium,(OsIrRu)
Osumilite-(Mg),KMg2Al3(Al2Si10)O30
Osumilite,(KNa)(Fe2+Mg)2(AlFe3+)3(SiAl)12O30
Otavite,CdCO3
Otjisumeite,PbGe4O9
Ottemannite,beta Sn2S3
Ottrélite,(Mn2+Fe2+Mg)Al2(SiO4)O(OH)2
Otwayite,Ni2(CO3)(OH)2 · H2O
Oulankaite,(PdPt)5(CuFe)4SnTe2S2
Ourayite,Ag3Pb4Bi5S13
Oursinite,Co(UO2)2(SiO3OH)2 · 6H2O
Overite,CaMgAl(PO4)2(OH) · 4H2O
Owyheeite,Ag3+xPb10-2xSb11+xS28 -0.13 < x > +0.20
Oxammite,(NH4)2(C2O4) · H2O
Oxy-petscheckite,UFe3+2/3☐1/3(NbTa)2O8
Oxypyromorphite,Pb10(PO4)6O
Oyelite,Ca10Si8B2O29 · 12.5H2O
Örebroite,Mn2+3(Sb5+Fe3+)(SiO4)(OOH)3
Oboyerite,H6(PbCa)6(Te4+O3)3(Te6+O6)2 · 2H2O
P-Veatchite,Sr2B11O16(OH)5 · H2O
Pabstite,Ba(SnTi)(Si3O9)
Pachnolite,NaCa[AlF6] · H2O
Padĕraite,Cu7[(CuAg)0.33Pb1.33Bi11.33]S22
Padmaite,PdBiSe
Pahasapaite,Li8(CaLiK)10.5Be24(PO4)24 · 38H2O
Painite,CaZrAl9(BO3)O15
Palarstanide,Pd5(SnAs)2
Palenzonaite,(CaNa)3CaMn2+2(VO4)3
Palermoite,(LiNa)2(SrCa)Al4(PO4)4(OH)4
Palladium,(PdPt)
Palladoarsenide,Pd2As
Palladobismutharsenide,Pd2(AsBi)
Palladseite,Pd17Se15
Palmierite,(KNa)2Pb(SO4)2
Palygorskite,(MgAl)5(SiAl)8O20(OH)2 · 8H2O
Panasqueiraite,CaMg(PO4)(OHF)
Panethite,(NaCa)2(MgFe2+)2(PO4)2
Panunzite,(KNa)AlSiO4
Paolovite,Pd2Sn
Papagoite,CaCu[H3AlSi2O9]
Para-alumohydrocalcite,CaAl2(CO3)2(OH)4 · 6H2O
Parabariomicrolite,BaTa4O10(OH)2 · 2H2O
Parabrandtite,Ca2Mn2+(AsO4)2 · 2H2O
Parabutlerite,Fe3+(SO4)(OH) · 2H2O
Paracelsian,Ba(Al2Si2O8)
Paracoquimbite,Fe2(SO4)3 · 9H2O
Paracostibite,CoSbS
Paradamite,Zn2(AsO4)(OH)
Paradocrasite,Sb3As
Parafransoleite,Ca3Be2(PO4)2(HPO4)2 · 4H2O
Parafransoletite,Ca3Be2(PO4)2(HPO4)2 · 4H2O
Paragonite,NaAl2(AlSi3O10)(OH)2
Paraguanajuatite,Bi2Se3
Parahopeite,Zn3(PO4)2 · 4H2O
Parakeldyshite,Na2ZrSi2O7
Khinite-3T,Pb2+Cu2+3Te6+O6(OH)2
Paralaurionite,PbCl(OH)
Paralstonite,BaCa(CO3)2
Paramelaconite,Cu1+2Cu2+2O3
Paramendozavilite,[KAl4(H2O)30][Mo12P6Fe3+6O60(OH)13]
Paramontroseite,V4+O2
Paranatisite,Na2Ti(SiO4)O
Paranatrolite,Na2Al2Si3O10 · 3H2O
Paranite-(Y),Ca2Y(AsO4)(WO4)2
Paraotwayite,Ni(OH)2-x(SO4CO3)0.5x
Parapierrotite,TlSb5S8
Pararammelsbergite,NiAs2
Pararealgar,As4S4
Pararobertsite,Ca2Mn3+3(PO4)3O2 · 3H2O
Paraschachnerite,Ag3Hg2
Paraschoepite,UO3 · 2H2O
Parascholzite,CaZn2(PO4)2 · 2H2O
Paraspurrite,Ca5(SiO4)2(CO3)
Parasymplesite,Fe2+3(AsO4)2 · 8H2O
Paratacamite,Cu3(CuZn)(OH)6Cl2
Paratellurite,TeO2
Paraumbite,K3Zr2H(Si3O9)2 · nH2O
Paravauxite,Fe2+Al2(PO4)2(OH)2 · 8H2O
Pargasite,{Na}{Ca2}{Mg4Al}(Al2Si6O22)(OH)2
Parisite-(Ce),CaCe2(CO3)3F2
Parisite-(Nd),Ca(NdCeLa)2(CO3)3F2
Parkerite,Ni3(BiPb)2S2
Parkinsonite,Pb7MoO9Cl2
Parnauite,Cu9(AsO4)2(SO4)(OH)10 · 7H2O
Parsettensite,(KNaCa)7.5(MnMg)49Si72O168(OH)50 · nH2O
Parsonsite,Pb2(UO2)(PO4)2
Parthéite,Ca2(Si4Al4) O15 (OH)2•4H2O
Cuproroméite,Cu2Sb2(OOH)7
Parwelite,Mn10Sb2As2Si2O24
Pascoite,Ca3(V10O28) · 17H2O
Patrónite,VS4
Paulkellerite,(BiO)2Fe3+(PO4)(OH)2
Paulkerrite,K(MgMn2+)2(Fe3+AlTiMg)2Ti(PO4)4(OH)3 · 15H2O
Paulmooreite,Pb2[As2O5]
Pavonite,AgBi3S5
Paxite,CuAs2
Pearceite,[Ag9CuS4][(AgCu)6(AsSb)2S7]
Pecoraite,Ni3(Si2O5)(OH)4
Pectolite-M2abc,NaCa2[HSi3O9]
Pectolite,NaCa2Si3O8(OH)
Ferrotaaffeite-6N'3S,(BeZnMg)FeAl4O8
Peisleyite,Na2Al9[(PS)O4]8(OH)6•28H2O
Pekoite,PbCuBi11(SSe)18
Pellyite,Ba2Ca(FeMg)2Si6O17
Penfieldite,Pb2Cl3(OH)
Penikisite,Ba(MgFe2+Ca)2Al2(PO4)3(OH)3
Penkvilksite,Na4Ti2Si8O22 · 4H2O
Pennantite,Mn2+5Al(AlSi3O10)(OH)8
Penroseite,(NiCoCu)Se2
Pentagonite,Ca(VO)Si4O10 · 4H2O
Pentahydrite,MgSO4 · 5H2O
Pentahydroborite,CaB2O(OH)6 · 2H2O
Pentlandite,(FexNiy)Σ9S8
Penzhinite,(AgCu)4Au(SSe)4
Peprossiite-(Ce),(CeLa)(Al3O)2/3B4O10
Peretaite,Ca(SbO)4(SO4)2(OH)2 · 2H2O
Perhamite,Ca3Al7.7Si3P4O23.5(OH)14.1 · 8H2O
Periclase,MgO
Perite,PbBiClO2
Perlialite,K9Na(CaSr)[Al2Si4O12]6 · 15H2O
Perloffite,Ba(Mn2+Fe2+)2Fe3+2(PO4)3(OH)3
Permingeatite,Cu3SbSe4
Perovskite,CaTiO3
Perraultite,BaNaMn2+4Ti2(Si2O7)2O2(OH)2F
Perrierite-(Ce),Ce4MgFe3+2Ti2(Si2O7)2O8
Perroudite,Hg5Ag4S5(IBr)2Cl2
Perryite,(NiFe)5(SiP)2
Petalite,LiAl(Si4O10)
Petarasite,Na5Zr2(Si6O18)(ClOH) · 2H2O
Petedunnite,Ca(ZnMn2+MgFe2+)Si2O6
Petersenite-(Ce),Na4(CeLaNd)2(CO3)5
Petersite-(Y),(YCeNd)Cu6(PO4)3(OH)6 · 3H2O
Petrovicite,Cu3HgPbBiSe5
Petrovskaite,AuAg(SSe)
Petrukite,(CuFeZnAg)3(SnIn)S4
Petscheckite,UFe(NbTa)2O8
Petzite,Ag3AuTe2
Phosphophyllite,Zn2Fe(PO4)2 · 4H2O
Phosphuranylite,(H3O)3KCa(UO2)7(PO4)4O4 · 8H2O
Phosphorrösslerite,Mg(HPO4) · 7H2O
Pharmacolite,Ca(HAsO4) · 2H2O
Pharmacosiderite,KFe3+4(AsO4)3(OH)4 · 6-7H2O
Phaunouxite,Ca3(AsO4)2 · 11H2O
Phosphosiderite,FePO4 · 2H2O
Phenakite,Be2SiO4
Phengite,KAl1.5(MgFe)0.5(Al0.5Si3.5O10)(OH)2
Philipsbornite,PbAl3(AsO4)(AsO3OH)(OH)6
Philipsburgite,(CuZn)6(AsO4PO4)2(OH)6 · H2O
Phlogopite,KMg3(AlSi3O10)(OH)2
Phoenicochroite,Pb2(CrO4)O
Phosgenite,Pb2CO3Cl2
Phosinaite,Na13Ca2(CeLaThNdPr)(Si4O12)(PO4)4
Phosphammite,(NH4)2(HPO4)
UM1994-19-PO:CuHMoPb,Pb2Cu(PO4)(MoO4AsO4CrO4GaO4)(OH)
Phosphoferrite,(Fe2+Mn2+)3(PO4)2 · 3H2O
Phosphofibrite,(H2OK)3.5Fe8(PO4)6(OH)7 · 5H2O
Phuralumite,Al2(UO2)3(PO4)3(OH)2 · 13H2O
Phurcalite,Ca2(UO2)3(PO4)2O2 · 7H2O
Phyllotungstite,(H2OM)x(WFe)(OOH)3 · yH2O (M = Ca Cs Pb or K)
Pickeringite,MgAl2(SO4)4 · 22H2O
Picotpaulite,TlFe2S3
Picromerite,K2Mg(SO4)2 · 6H2O
Picropharmacolite,Ca4Mg(AsO4)2(HAsO4)2 · 11H2O
Piemontite,{Ca2}{Al2Mn3+}(Si2O7)(SiO4)O(OH)
Pierrotite,Tl2(SbAs)10S16
Pigeonite,(CaxMgyFez)(Mgy1Fez1)Si2O6
Pigotite,Al4C6H5O10 · 13H2O (?)
Pilolite,Mg4Al2Si10O27 · 15H2O
Pilsenite,Bi4Te3
Pinakiolite,(MgMn2+)2Mn3+(BO3)O2
Pinalite,Pb3WO5Cl2
Pinchite,Hg2+5Cl2O4
Pinnoite,Mg[B2O(OH)6]
Pintadoite,Ca2(V2O7) · 9H2O
Pirquitasite,Ag2ZnSnS4
Pirssonite,Na2Ca(CO3)2 · 2H2O
Pitaglianoite,K2Na6Si6Al6O24(SO4) · 2H2O
Pitchblende,UO2
Pitiglianoite,Na6K2(Al6Si6O24)(SO4) · 2H2O
Pitticite,(Fe SO4 AsO4 H2O) ?
Piypite,K4Cu4O2(SO4)4 · (NaCu)Cl
Pääkkönenite,Sb2AsS2
Plumbotellurite,Pb(TeO3)
Plumbopyrochlore (of Skorobogatova et al.),A2Nb2(OOH)6Z
Plumbonacrite,Pb5O(OH)2(CO3)3
Plumbotsumite,Pb13(CO3)6(Si10O27) · 3H2O
Albite-Anorthite Series,Na(AlSi3O8)
Plagionite,Pb5Sb8S17
Plancheite,Cu8(Si8O22)(OH)4 · H2O
Planerite,Al6(PO4)2(HPO4)2(OH)8 · 4 H2O
Platarsite,PtAsS
Platinum,Pt
Plattnerite,PbO2
Playfairite,Pb16(SbAs)19S44Cl
Plumbopalladinite,Pd3Pb2
Plombièrite,[Ca4Si6O16(OH)2 · 2H2O]·(Ca·5H2O)
Plumalsite,Pb4Al2(SiO3)7
Plumbobetafite (of Hogarth 1977),A2-mD2X6-wZ1-n
Plumboferrite,Pb2(Fe3+Mn2+Mg)11O19
Plumbogummite,PbAl3(PO4)(PO3OH)(OH)6
Plumbojarosite,Pb0.5Fe3+3(SO4)2(OH)6
Poitevinite,(CuFe)SO4 · H2O
Pokrovskite,Mg2(CO3)(OH)2
Polarite,Pd(BiPb)
Poldervaartite,CaCa[SiO3(OH)](OH)
Polhemusite,(ZnHg)S
Polkovicite,(FePb)3(GeFe)1-xS4
Pollucite,(CsNa)2(Al2Si4O12) · 2H2O
Polybasite,[(AgCu)6(SbAs)2S7][Ag9CuS4]
Polycrase-(Y),Y(TiNb)2(OOH)6
Polydymite,Ni2+Ni3+2S4
Polyhalite,K2Ca2Mg(SO4)4 · 2H2O
Polylithionite,KLi2Al(Si4O10)(FOH)2
Polymignite,(CaFeYTh)(NbTiTaZr)O4
Polyphite,Na5(Na4Ca2)Ti2(Si2O7)(PO4)3O2F2
Ponomarevite,K4Cu4Cl10O
Portlandite,Ca(OH)2
Posnjakite,Cu4(SO4)(OH)6 · H2O
Potarite,PdHg
Alum-(K),KAl(SO4)2 · 12H2O
Potassium-fluoro-richterite,{K}{CaNa}{Mg5}(Si8O22)(FOH)2
Potosíite,Pb6Sn3FeSb3S16
Pottsite,(Pb3xBi4-2x)(VO4)4·H2O (0.8 < x < 1.0)
Poubaite,PbBi2(SeTeS)4
Poudretteite,KNa2B3Si12O30
Poughite,Fe3+2(TeO3)2(SO4)(H2O)2 · H2O
Povondraite,NaFe3+3(Mg2Fe3+4)(Si6O18)(BO3)3(OH)3O
Powellite,Ca(MoO4)
Poyarkovite,(Hg2+2)3Cl2O2
Prehnite,Ca2Al2Si3O10(OH)2
Preisingerite,Bi3(AsO4)2O(OH)
Preiswerkite,NaMg2Al(Al2Si2O10)(OH)2
Preobrazhenskite,Mg3B11O15(OH)9
Priceite,Ca2B5O7(OH)5 · H2O
Priderite,K(Ti4+7Fe3+)O16
Pringleite,Ca9B26O34(OH)24Cl4 · 13H2O
Prixite,Pb5(AsO4)3Cl
Probertite,NaCaB5O7(OH)4 · 3H2O
Proidonite,SiF4
Prosopite,CaAl2F4[(OH)4-xFx] x = 0.0–1.0
Prosperite,Ca2Zn4(AsO4)4 · H2O
Protasite,Ba(UO2)3O3(OH)2 · 3H2O
Protopartzite,Cu(SbAsFeZn)1.3(OOH)6.8
Proudite,CuPb7.5Bi9.33(SSe)22
Proustite,Ag3AsS3
Przhevalskite,Pb2(UO2)3(PO4)2(OH)4 · 3H2O
Pseudorutile,Fe2Ti3O9
Pseudolaueite,Mn2+Fe3+2(PO4)2(OH)2 · 8H2O
Pseudograndreefite,Pb6(SO4)F10
Pseudomalachite,Cu5(PO4)2(OH)4
Pseudo-autunite,(H3O)4Ca2(UO2)2(PO4)4 · 5H2O
Pseudoboleite,Pb31Cu24Cl62(OH)48
Pseudobrookite,Fe2TiO5
Pseudocotunnite,K2PbCl4
Pucherite,Bi(VO4)
Pumpellyite-(Fe2+),Ca2Fe2+Al2(Si2O7)(SiO4)(OH)2 · H2O
Pumpellyite-(Fe3+),Ca2(Fe3+Mg)(AlFe3+)2(Si2O7)(SiO4)(OHO)2 · H2O
Pumpellyite-(Mg),Ca2MgAl2(Si2O7)(SiO4)(OH)2 · H2O
Pumpellyite-(Mn2+),Ca2Mn2+Al2(Si2O7)(SiO4)(OH)2 · H2O
Purpurite,(Mn3+Fe3+)PO4
Putoranite,Cu1.1Fe1.2S2
Pyrargyrite,Ag3SbS3
Pyrite,FeS2
Pyrobelonite,PbMn2+(VO4)(OH)
Pyrochlore Group,A2Nb2(OOH)6Z
Pyrochroite,Mn(OH)2
Pyrolusite,Mn4+O2
Pyromorphite,Pb5(PO4)3Cl
Pyrope,Mg3Al2(SiO4)3
Pyrophanite,Mn2+TiO3
Pyrophyllite,Al2Si4O10(OH)2
Pyrostilpnite,Ag3SbS3
Pyroxferroite,(FeMnCa)SiO3
Pyroxmangite,MnSiO3
Pyrrhotite,Fe7S8
Petitjeanite,Bi3(PO4)2O(OH)
Pyroaurite,Mg6Fe3+2(OH)16[CO3] · 4H2O
Qandilite,(MgFe3+)2(TiFe3+Al)O4
Qilianshanite,NaHCO3 · H3BO3 · 2H2O
Qingheiite,NaMn3+Mg(AlFe3+)(PO4)3
Qitianlingite,(FeMn)2(NbTa)2WO10
Quadridavyne,(NaK)6Ca2(Al6Si6O24)Cl4
Quadruphite,Na14Ca2Ti4(Si2O7)2(PO4)2O2F
Quartz,SiO2
Quartzine,SiO2
Queitite,Pb4Zn2(SO4)(SiO4)(Si2O7)
Quenselite,PbMnO2(OH)
Quenstedtite,Fe2(SO4)3 · 11H2O
Quetzalcoatlite,Zn6Cu3(TeO6)2(OH)6 · AgxPbyClx+2y
Quiroguite,Pb23Sb6S32
Rabbittite,Ca3Mg3(UO2)2(CO3)6(OH)4 · 18H2O
Rabejacite,Ca(UO2)4(SO4)2(OH)6 · 6H2O
Radhakrishnaite,PbTe3(ClS)2
Radtkeite,Hg2+3S2ICl
Raguinite,TlFeS2
Raite,Na4Mn2+3Ti0.25Si8O20(OH)2 · 10H2O
Rajite,Cu(Te4+2O5)
Hydrokenoralstonite,Na0.5(AlMg)2(FOH)6•H2O
Ramdohrite,Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24
Rameauite,K2Ca(H[3]2O)(H[5]2O)4[(UO2)6O6(OH)4](H[4]2O)
Rammelsbergite,NiAs2
Ramsbeckite,(CuZn)15(SO4)4(OH)22 · 6H2O
Ramsdellite,Mn4+O2
Ranciéite,(CaMn2+)0.2(Mn4+Mn3+)O2 · 0.6H2O
Rankachite,Ca0.5(V4+V5+)(W6+Fe3+)2O8(OH) · 2H2O
Rankamaite,(NaK)3(TaNbAl)11(OOH)31
Rankinite,Ca3Si2O7
Ransomite,CuFe2(SO4)4 · 6H2O
Ranunculite,HAl(UO2)(PO4)(OH)3 · 4H2O
Rapidcreekite,Ca2(SO4)(CO3) · 4H2O
Rashleighite,Cu(AlFe)6(PO4)4(OH)8 · 5H2O
Raspite,Pb(WO4)
Rasvumite,KFe2S3
Rathite,Ag2Pb12-xTlx/2As18+x/2S40
Rauenthalite,Ca3(AsO4)2 · 10H2O
Rauvite,Ca(UO2)2(V10O28) · 16H2O
Ravatite,C14H10
Rayite,Pb8(AgTl)2Sb8S21
Realgar,As4S4
Rebulite,Tl5Sb5As8S22
Rectorite,(NaCa)Al4((SiAl)8O20)(OH)4 · 2H2O
Reddingite,(Mn2+Fe2+)3(PO4)2 · 3H2O
Redingtonite,(Fe2+MgNi)(CrAl)2(SO4)4·22H2O
Redledgeite,Ba(Ti4+6Cr3+2)O16
Reederite-(Y),(NaMn)15Y2(CO3)9(FSO3)Cl
Reedmergnerite,NaBSi3O8
Reevesite,Ni6Fe3+2(OH)16(CO3) · 4H2O
Refikite,C20H32O2
Reichenbachite,Cu5(PO4)2(OH)4
Reinerite,Zn3(AsO3)2
Reinhardbraunsite,Ca5(SiO4)2(OHF)2
Rémondite-(Ce),Na3(CeLaCaNaSr)3(CO3)5
Renierite,(Cu1+Zn)11Fe4(Ge4+As5+)2S16
Reppiaite,Mn2+5(VO4)2(OH)4
Retzian-(Ce),Mn2+2Ce(AsO4)(OH)4
Retzian-(La),(Mn2+Mg)2(LaCeNd)(AsO4)(OH)4
Retzian-(Nd),Mn2+2(NdCeLa)(AsO4)(OH)4
Revdite,Na16Si16O27(OH)26 · 28H2O
Reyerite,(NaK)2Ca14(SiAl)24O58(OH)8 · 6H2O
Rhabdophane-(Ce),Ce(PO4) · H2O
Rhabdophane-(La),La(PO4) · H2O
Rhabdophane-(Nd),Nd(PO4) · H2O
Rhenium,Re
Rhönite,Ca2(MgFe2+Fe3+Ti)6[O2|(SiAl)6O18]
Rhodesite,KHCa2Si8O19 · 5H2O
Rhodium,(RhPt)
Rhodizite,(KCs)Al4Be4(BBe)12O28
Rhodochrosite,MnCO3
Rhodonite,Mn2+SiO3
Rhodostannite,Cu2FeSn3S8
Rhodplumsite,Rh3Pb2S2
Rhomboclase,(H5O2)Fe3+(SO4)2 · 2H2O
Ribbeite,Mn2+5(SiO4)2(OH)2
Ribeirite,Zr(SiO4)
Richellite,CaFe3+2(PO4)2(OHF)2
Richelsdorfite,Ca2Cu5Sb(AsO4)4(OH)6Cl · 6H2O
Richetite,(Fe3+Mg)Pb 8.6(UO2)36O36(OH)24•41H2O
Richterite,{Na}{NaCa}{Mg5}(Si8O22)(OH)2
Rickardite,Cu7Te5
Riebeckite,◻[Na2][Fe2+3Fe3+2]Si8O22(OH)2
Rilandite,Cr4Al2SiO11 · 5H2O or near
Rimkorolgite,(MgMn)5(BaSrCa)(PO4)4 · 8H2O
Ringwoodite,(MgFe2+)2SiO4
Rinkite-(Ce),(Ca3Ce)Na(NaCa)Ti(Si2O7)2(OF)F2
Rinneite,K3Na[FeCl6]
Ripidolite,(MgFeAl)6(SiAl)4O10(OH)8
Rittmannite,{(Mn2+Ca)}{Mn2+}{(Fe2+Mn2+Mg)2}{(AlFe3+)2}(PO4)4(OH)2 · 8H2O
Rivadavite,Na6Mg[B6O7(OH)6]4 · 10H2O
Riversideite,Ca5(HSi3O9)2 · 2H2O
Römerite,Fe2+Fe3+2(SO4)4 · 14H2O
Röntgenite-(Ce),Ca2(CeLa)3(CO3)5F3
Roaldite,(FeNi)4N
Robertsite,Ca2Mn3+3(PO4)3O2 · 3H2O
Robinsonite,Pb4Sb6S13
Rockbridgeite,Fe2+Fe3+4(PO4)3(OH)5
Rodalquilarite,Fe2(TeO2OH)3(TeO3)Cl
Roeblingite,Pb2Ca6Mn2+(Si3O9)2(SO4)2(OH)2 · 4H2O
Roedderite,(NaK)2(MgFe)5Si12O30
Roggianite,Ca2Be(OH)2Al2Si4O13 · 2.5H2O
Rohaite,(TlPbK)2Cu8.7Sb2S4
Rokühnite,FeCl2 · 2H2O
Romanèchite,(BaH2O)2(Mn4+Mn3+)5O10
Romarchite,SnO
Rooseveltite,Bi(AsO4)
Roquesite,CuInS2
Rorisite,CaFCl
Rosasite,(CuZn)2(CO3)(OH)2
Roscherite,Ca2Mn2+5Be4(PO4)6(OH)4 · 6H2O
Roscoelite,K(V3+Al)2(AlSi3O10)(OH)2
Roselite,Ca2(Co2+Mg)(AsO4)2 · 2H2O
β-Roselite,Ca2Co(AsO4)2 · 2H2O
Rosemaryite,(NaCaMn)(MnFe2+)(Fe3+Mg)Al(PO4)3
Rosenbergite,AlF[F0.5(H2O)0.5]4·H2O
Rosenbuschite,Na6Ca6Zr3Ti(Si2O7)4O2F6
Rosenhahnite,HCa3[Si3O9(OH)]
Rose Quartz,SiO2
Roshchinite,Ag19Pb10Sb51S96
Rosickýite,S
Rosièresite,(Pb Cu Al P O H)
Rossite,Ca(VO3)2•4H2O
Rostite,Al(SO4)(OH) · 5H2O
Roubaultite,Cu2(UO2)3(CO3)2O2(OH)2•4H2O
Rouseite,Pb2Mn2+[AsO3]2 · 2H2O
Routhierite,Tl(CuAg)(HgZn)2(AsSb)2S6
Rouvilleite,Na3(CaMnFe)2(CO3)3F
Roweite,Ca2Mn2+2B4O7(OH)6
Rowlandite-(Y),(YCe)4Fe2+(Si2O7)2F2 (?)
Roxbyite,Cu9S5
Rozenite,FeSO4 · 4H2O
Rößlerite,Mg(HAsO4) · 7H2O
Ruarsite,(RuOs)AsS
Rubellite,A(D3)G6(T6O18)(BO3)3X3Z
Ruby,Al2O3
Rucklidgeite,PbBi2Te4
Ruitenbergite,Ca9B26O34(OH)24Cl4 · 13H2O
Ruizite,Ca2Mn3+2[Si4O11(OH)2](OH)2·2H2O
Rusakovite,(Fe3+Al)5(VO4PO4)2(OH)9 · 3H2O
Russellite,Bi2WO6
Rustenburgite,(PtPd)3Sn
Rustumite,Ca10(Si2O7)2(SiO4)(OH)2Cl2
Ruthenarsenite,(RuNi)As
Rutheniridosmine,(IrOsRu)
Ruthenium,(RuIr)
Rutherfordine,(UO2)CO3
Rutilated Quartz,SiO2
Rutile,TiO2
Rynersonite,CaTa2O6
Retgersite,NiSO4 · 6H2O
Saamite (of Volkova & Melentiev),(CaSrREE)5(PO4)3(FO)
Sabatierite,Cu6TlSe4
Sabelliite,(CuZn)2Zn(AsO4SbO4)(OH)3
Sabieite,(NH4)Fe3+(SO4)2
Sabinaite,Na4Zr2TiO4(CO3)4
Sabugalite,HAl(UO2)4(PO4)4 · 16H2O
Sacrofanite,(Na61K19Ca32)(Si84Al84O336)(SO4)26Cl2F6•2H2O
Sadanagaite,{Na}{Ca2}{Mg3Al2}(Si5Al3O22)(OH)2
Safflorite,(CoNiFe)As2
Sahamalite-(Ce),(MgFe)(CeLaNd)2(CO3)4
Sahlinite,Pb14(AsO4)2O9Cl4
Sainfeldite,Ca5(AsO4)2(AsO3OH)2 · 4H2O
Sakhaite,Ca12Mg4(BO3)7(CO3)4(OH)2Cl
Sakharovaite,(PbBi)4FeSb6S14
Sakuraiite,(CuZnFe)3(InSn)S4
Salammoniac,NH4Cl
Saléeite,Mg(UO2)2(PO4)2 · 10H2O
Salesite,Cu(IO3)(OH)
Saliotite,(LiNa)Al3(AlSi3O10)(OH)5
Ferroan Boothite,(CuFe2+)SO4 · 7H2O
Samarskite-(Y),(YFe3+Fe2+UThCa)2(NbTa)2O8
Samfowlerite,Ca28Mn6Zn4(BeZn)4Be12[(OH)3|(SiO4)3|(Si2O7)2]4
Samiresite,(UCaCe)2(NbTa)2O6(OHF)
Sampleite,NaCaCu5(PO4)4Cl · 5H2O
Samsonite,Ag4MnSb2S6
Samuelsonite,(CaBa)Ca8Fe2+2Mn2+2Al2(PO4)10(OH)2
Sanbornite,Ba2(Si4O10)
Sanderite,MgSO4 · 2H2O
Saneroite,NaMn2+5[Si5O14(OH)](VO3)(OH)
Sanidine,K(AlSi3O8)
Sanjuanite,Al2(PO4)(SO4)(OH) · 9H2O
Sanmartinite,(ZnFe)WO4
Santaclaraite,CaMn4[Si5O14OH](OH) · H2O
Santafeite,(NaCaSr)12(Mn2+Fe3+AlMg)8Mn4+8(VO4)16(OHO)20 · 8H2O
Santanaite,Pb11(CrO4)O12
Santite,K[B5O6(OH)4] · 2H2O
