Adularia,KAlSi3O8
Bicchulite,Ca2(Al2SiO6)(OH)2
Bideauxite,Pb2AgCl3(FOH)2
Bismutotantalite,Bi(TaNb)O4
Bieberite,CoSO4 · 7H2O
Bismutoferrite,Fe3+2Bi(SiO4)2(OH)
Bijvoetite-(Y),Y8(UO2)16(CO3)16O8(OH)8 · 39H2O
Bikitaite,LiAlSi2O6 · H2O
Bilibinskite,PbCu2Au3Te2
Bílinite,Fe2+Fe3+2(SO4)4 · 22H2O
Billietite,Ba(UO2)6O4(OH)6 · 4-8H2O
Billingsleyite,Ag7AsS6
Bindheimite,Pb2Sb2O6O
Biphosphammite,(NH4K)(H2PO4)
Biringuccite,Na2B5O8(OH) · H2O
Birnessite,(NaCa)0.5(Mn4+Mn3+)2O4 · 1.5H2O
Bischofite,MgCl2 · 6H2O
Bismite,Bi2O3
Bismoclite,BiOCl
Bismuth,Bi
Bismuthinite,Bi2S3
Bismutite,(BiO)2CO3
Bismutocolumbite,Bi(NbTa)O4
